Evaluation,Generation 0: owPPD,Generation 0: NSE,Generation 1: owPPD,Generation 1: NSE,Generation 2: owPPD,Generation 2: NSE,Generation 3: owPPD,Generation 3: NSE,Generation 4: owPPD,Generation 4: NSE,Generation 5: owPPD,Generation 5: NSE,Generation 6: owPPD,Generation 6: NSE,Generation 7: owPPD,Generation 7: NSE,Generation 8: owPPD,Generation 8: NSE,Generation 9: owPPD,Generation 9: NSE,Generation 10: owPPD,Generation 10: NSE,Generation 11: owPPD,Generation 11: NSE,Generation 12: owPPD,Generation 12: NSE,Generation 13: owPPD,Generation 13: NSE,Generation 14: owPPD,Generation 14: NSE,Generation 15: owPPD,Generation 15: NSE,Generation 16: owPPD,Generation 16: NSE,Generation 17: owPPD,Generation 17: NSE,Generation 18: owPPD,Generation 18: NSE,Generation 19: owPPD,Generation 19: NSE,Generation 20: owPPD,Generation 20: NSE,Generation 21: owPPD,Generation 21: NSE,Generation 22: owPPD,Generation 22: NSE,Generation 23: owPPD,Generation 23: NSE,Generation 24: owPPD,Generation 24: NSE,Generation 25: owPPD,Generation 25: NSE,Generation 26: owPPD,Generation 26: NSE,Generation 27: owPPD,Generation 27: NSE,Generation 28: owPPD,Generation 28: NSE,Generation 29: owPPD,Generation 29: NSE,Generation 30: owPPD,Generation 30: NSE,Generation 31: owPPD,Generation 31: NSE,Generation 32: owPPD,Generation 32: NSE,Generation 33: owPPD,Generation 33: NSE,Generation 34: owPPD,Generation 34: NSE,Generation 35: owPPD,Generation 35: NSE,Generation 36: owPPD,Generation 36: NSE,Generation 37: owPPD,Generation 37: NSE,Generation 38: owPPD,Generation 38: NSE,Generation 39: owPPD,Generation 39: NSE,Generation 40: owPPD,Generation 40: NSE,Generation 41: owPPD,Generation 41: NSE,Generation 42: owPPD,Generation 42: NSE,Generation 43: owPPD,Generation 43: NSE,Generation 44: owPPD,Generation 44: NSE,Generation 45: owPPD,Generation 45: NSE,Generation 46: owPPD,Generation 46: NSE,Generation 47: owPPD,Generation 47: NSE,Generation 48: owPPD,Generation 48: NSE
46,16.96,1566.67,9.39,1636.11,11.83,1597.22,13.22,1561.11,9.99,1608.33,9.76,1605.56,10.09,1591.67,19.86,1513.89,20.1,1500.0,6.61,1669.44,6.6,1677.78,11.24,1552.78,13.85,1516.67,12.34,1530.56,13.85,1516.67,6.85,1647.22,8.74,1594.44,9.81,1569.44,8.88,1588.89,6.6,1627.78,20.3,1486.11,7.58,1613.89,12.45,1527.78,6.3,1650.0,19.0,1491.67,8.29,1594.44,9.56,1555.56,8.29,1594.44,7.51,1611.11,13.87,1511.11,13.98,1508.33,6.33,1641.67,13.87,1511.11,10.7,1541.67,6.51,1630.56,6.21,1647.22,6.49,1619.44,13.76,1505.56,10.7,1541.67,12.83,1519.44,14.88,1500.0,6.32,1644.44,12.9,1516.67,17.41,1483.33,7.38,1600.0,12.89,1516.67,18.75,1480.56,6.42,1619.44,10.47,1541.67
47,17.44,1563.89,9.94,1627.78,11.45,1600.0,12.89,1569.44,9.62,1613.89,9.82,1600.0,10.12,1588.89,19.43,1516.67,9.76,1586.11,10.94,1569.44,6.51,1683.33,11.16,1555.56,9.53,1572.22,9.03,1602.78,9.53,1572.22,14.44,1511.11,9.36,1580.56,6.48,1658.33,16.88,1497.22,14.62,1508.33,19.03,1488.89,20.3,1486.11,9.7,1552.78,12.31,1530.56,17.18,1494.44,16.88,1497.22,11.25,1538.89,16.22,1494.44,6.52,1627.78,9.42,1563.89,14.68,1505.56,15.7,1497.22,13.87,1511.11,17.48,1488.89,16.25,1491.67,18.84,1483.33,19.95,1480.56,12.17,1522.22,8.61,1572.22,12.9,1516.67,6.14,1661.11,8.97,1569.44,9.16,1555.56,15.71,1494.44,10.61,1541.67,14.86,1502.78,12.04,1527.78,11.78,1530.56,9.59,1552.78
48,10.46,1655.56,9.3,1638.89,12.21,1594.44,8.55,1650.0,11.6,1588.89,8.32,1638.89,9.82,1600.0,8.22,1627.78,10.04,1583.33,6.51,1683.33,7.28,1650.0,12.74,1527.78,9.53,1572.22,8.94,1605.56,9.53,1572.22,14.44,1511.11,18.44,1497.22,12.66,1522.22,16.58,1502.78,9.7,1552.78,6.41,1677.78,9.7,1552.78,13.0,1513.89,7.09,1622.22,6.6,1627.78,6.6,1627.78,15.22,1500.0,18.88,1488.89,7.27,1613.89,16.16,1494.44,16.96,1491.67,17.82,1486.11,6.51,1630.56,6.33,1641.67,16.69,1488.89,6.77,1605.56,7.59,1600.0,6.49,1622.22,7.44,1597.22,14.86,1502.78,6.33,1641.67,12.94,1513.89,6.32,1644.44,6.21,1647.22,10.76,1538.89,8.07,1583.33,9.14,1555.56,10.47,1541.67,6.12,1636.11
49,10.46,1666.67,10.25,1625.0,8.94,1672.22,8.59,1647.22,11.86,1580.56,8.26,1641.67,9.82,1600.0,8.22,1627.78,9.31,1602.78,9.12,1613.89,7.1,1658.33,19.08,1500.0,15.88,1508.33,8.87,1608.33,12.34,1530.56,6.47,1680.56,6.44,1686.11,8.6,1602.78,8.36,1594.44,8.84,1588.89,19.27,1488.89,11.37,1538.89,9.42,1563.89,7.02,1625.0,20.3,1486.11,13.0,1513.89,7.52,1605.56,7.24,1619.44,14.74,1505.56,8.37,1586.11,19.95,1480.56,9.56,1555.56,6.3,1650.0,16.25,1491.67,8.07,1591.67,6.49,1619.44,7.52,1602.78,10.7,1541.67,6.32,1644.44,6.77,1605.56,6.45,1616.67,6.13,1666.67,12.04,1527.78,9.09,1566.67,6.16,1652.78,7.47,1594.44,9.09,1561.11,9.59,1552.78,8.73,1569.44
50,10.78,1650.0,14.33,1575.0,8.81,1677.78,9.99,1608.33,11.86,1580.56,7.87,1655.56,9.82,1600.0,7.44,1669.44,9.52,1597.22,14.54,1522.22,10.75,1569.44,13.35,1519.44,8.44,1613.89,9.09,1597.22,9.03,1602.78,6.47,1680.56,17.01,1502.78,14.62,1508.33,9.88,1561.11,6.38,1650.0,18.44,1497.22,8.13,1597.22,12.64,1522.22,16.92,1497.22,6.54,1647.22,11.12,1547.22,8.41,1586.11,21.72,1477.78,8.37,1586.11,13.0,1513.89,6.33,1641.67,19.02,1483.33,10.7,1541.67,21.68,1477.78,13.58,1508.33,19.95,1480.56,11.3,1533.33,8.61,1572.22,13.0,1513.89,8.97,1569.44,11.3,1533.33,12.9,1516.67,10.61,1541.67,8.61,1572.22,11.3,1533.33,8.61,1572.22,10.68,1538.89,6.12,1636.11,6.42,1619.44
51,12.2,1605.56,14.27,1577.78,10.35,1611.11,10.87,1600.0,12.2,1563.89,9.12,1619.44,7.14,1680.56,7.09,1672.22,6.61,1669.44,8.54,1619.44,18.11,1508.33,13.85,1516.67,12.34,1530.56,18.76,1500.0,8.94,1605.56,6.44,1686.11,10.27,1555.56,11.95,1536.11,12.52,1527.78,6.41,1677.78,15.0,1505.56,13.87,1511.11,21.25,1480.56,8.61,1594.44,16.47,1500.0,6.31,1658.33,20.42,1480.56,17.4,1491.67,13.87,1511.11,13.87,1511.11,15.7,1497.22,8.37,1580.56,7.19,1608.33,14.63,1505.56,13.42,1511.11,17.82,1486.11,12.03,1530.56,7.44,1597.22,6.74,1611.11,6.16,1652.78,11.0,1538.89,9.16,1555.56,8.38,1577.78,9.68,1550.0,6.76,1605.56,16.68,1488.89,8.98,1566.67,8.73,1569.44,13.27,1511.11
52,11.48,1627.78,14.57,1569.44,10.41,1608.33,11.12,1594.44,12.38,1555.56,8.97,1625.0,7.81,1655.56,7.53,1652.78,18.81,1513.89,10.07,1572.22,16.63,1513.89,9.53,1572.22,6.55,1680.56,6.96,1650.0,8.87,1608.33,10.91,1552.78,8.31,1608.33,7.5,1619.44,6.41,1677.78,19.54,1491.67,16.77,1500.0,16.5,1500.0,9.01,1586.11,11.95,1536.11,10.42,1550.0,20.42,1480.56,6.31,1658.33,6.31,1658.33,22.3,1477.78,19.72,1483.33,17.82,1486.11,15.0,1500.0,17.48,1488.89,6.16,1655.56,6.32,1644.44,7.59,1600.0,6.16,1652.78,6.32,1644.44,6.76,1608.33,14.88,1500.0,10.53,1544.44,6.32,1644.44,9.59,1552.78,12.03,1530.56,6.34,1636.11,6.41,1622.22,7.37,1597.22,6.42,1619.44,18.44,1480.56
53,12.2,1608.33,11.43,1608.33,10.35,1611.11,11.96,1586.11,12.2,1563.89,8.63,1630.56,7.81,1655.56,12.18,1544.44,18.68,1525.0,9.87,1580.56,13.94,1516.67,9.53,1572.22,9.03,1602.78,6.89,1652.78,9.09,1597.22,10.27,1555.56,15.7,1505.56,13.29,1516.67,19.54,1491.67,16.75,1502.78,16.58,1502.78,7.75,1605.56,9.69,1555.56,12.06,1533.33,9.42,1563.89,15.31,1500.0,17.18,1494.44,22.3,1477.78,6.28,1666.67,6.16,1655.56,9.56,1555.56,8.07,1591.67,6.33,1641.67,6.52,1619.44,6.21,1647.22,7.52,1602.78,6.35,1636.11,13.0,1513.89,11.3,1533.33,6.14,1661.11,15.32,1497.22,12.04,1527.78,7.61,1594.44,7.38,1600.0,6.32,1644.44,14.89,1497.22,12.14,1522.22,13.27,1511.11,19.36,1475.0
54,11.69,1616.67,11.21,1611.11,9.3,1647.22,12.27,1583.33,8.32,1641.67,8.95,1627.78,7.44,1669.44,9.12,1613.89,10.94,1569.44,9.76,1586.11,13.35,1519.44,7.52,1641.67,9.22,1591.67,7.12,1647.22,18.05,1500.0,9.12,1588.89,8.82,1597.22,14.44,1511.11,17.01,1502.78,15.63,1505.56,6.48,1658.33,20.38,1486.11,6.39,1652.78,9.38,1577.78,15.32,1502.78,19.0,1491.67,15.26,1500.0,15.26,1500.0,18.88,1488.89,17.53,1488.89,19.02,1483.33,13.87,1511.11,7.52,1605.56,6.3,1650.0,21.72,1477.78,14.18,1505.56,17.6,1486.11,19.44,1477.78,6.69,1616.67,6.33,1641.67,6.32,1644.44,10.61,1541.67,17.41,1483.33,10.61,1541.67,10.17,1547.22,6.13,1661.11,6.42,1619.44,18.44,1480.56,12.14,1522.22
55,11.54,1622.22,11.78,1600.0,9.14,1650.0,12.4,1580.56,15.72,1541.67,12.38,1555.56,7.23,1677.78,9.5,1605.56,6.54,1683.33,8.06,1638.89,13.94,1516.67,7.4,1644.44,8.94,1605.56,7.4,1644.44,6.89,1652.78,9.45,1580.56,9.53,1572.22,14.44,1511.11,18.44,1497.22,17.75,1500.0,10.27,1552.78,6.41,1677.78,20.38,1486.11,14.62,1508.33,14.07,1511.11,17.18,1494.44,19.0,1491.67,20.42,1480.56,20.42,1480.56,7.91,1597.22,8.37,1580.56,16.96,1491.67,16.25,1491.67,7.65,1597.22,6.19,1666.67,11.3,1533.33,13.76,1505.56,6.74,1611.11,19.38,1477.78,6.45,1616.67,8.97,1569.44,8.38,1577.78,8.2,1580.56,10.76,1538.89,6.13,1661.11,13.36,1508.33,11.78,1530.56,19.36,1475.0,8.17,1580.56
56,13.28,1594.44,10.75,1622.22,9.12,1655.56,10.54,1605.56,18.45,1533.33,12.27,1558.33,7.62,1658.33,11.38,1550.0,7.82,1650.0,12.12,1541.67,10.07,1572.22,7.52,1641.67,9.11,1600.0,14.44,1511.11,6.96,1644.44,9.27,1586.11,18.05,1500.0,10.27,1552.78,15.63,1505.56,6.48,1658.33,7.26,1622.22,18.44,1497.22,6.61,1627.78,8.88,1588.89,11.27,1547.22,16.92,1497.22,16.88,1497.22,6.6,1627.78,17.4,1491.67,6.33,1641.67,15.0,1500.0,21.72,1477.78,21.68,1477.78,10.41,1547.22,19.72,1483.33,12.03,1530.56,12.17,1522.22,6.76,1608.33,6.44,1633.33,11.3,1533.33,12.94,1513.89,6.13,1666.67,15.71,1494.44,6.42,1619.44,8.61,1572.22,10.61,1541.67,10.47,1541.67,12.14,1522.22,9.1,1558.33
57,15.52,1583.33,11.18,1616.67,9.63,1644.44,8.48,1680.56,14.81,1544.44,11.91,1561.11,9.09,1619.44,8.59,1625.0,8.06,1638.89,7.82,1647.22,9.87,1580.56,7.28,1650.0,6.58,1666.67,14.44,1511.11,6.92,1647.22,9.39,1583.33,14.44,1511.11,9.12,1588.89,10.2,1563.89,7.62,1616.67,11.18,1550.0,15.0,1505.56,19.1,1494.44,17.18,1494.44,19.27,1488.89,6.6,1627.78,6.6,1627.78,16.88,1497.22,6.6,1627.78,13.98,1508.33,8.07,1591.67,13.87,1511.11,14.63,1505.56,14.86,1502.78,17.87,1486.11,6.16,1652.78,6.49,1622.22,11.3,1533.33,12.83,1519.44,11.0,1538.89,6.13,1666.67,9.59,1552.78,6.45,1616.67,6.16,1652.78,16.25,1491.67,18.75,1480.56,9.59,1552.78,8.17,1580.56,19.32,1477.78
58,15.2,1591.67,15.43,1558.33,9.79,1633.33,8.26,1683.33,14.81,1544.44,18.15,1530.56,8.59,1625.0,8.59,1625.0,7.82,1650.0,7.93,1644.44,9.76,1586.11,7.1,1658.33,6.56,1675.0,12.74,1527.78,14.44,1511.11,9.39,1583.33,15.26,1508.33,9.45,1577.78,6.48,1658.33,14.74,1508.33,6.75,1638.89,16.77,1500.0,16.92,1497.22,15.0,1505.56,11.37,1538.89,6.51,1647.22,6.43,1647.22,18.75,1491.67,19.84,1483.33,14.68,1505.56,6.22,1658.33,6.51,1630.56,6.16,1655.56,8.48,1577.78,7.59,1600.0,6.16,1655.56,10.7,1541.67,15.63,1497.22,6.49,1622.22,10.53,1544.44,12.9,1516.67,7.61,1594.44,6.14,1661.11,11.3,1533.33,8.38,1577.78,6.19,1647.22,6.12,1636.11,9.1,1558.33,10.37,1544.44
59,15.71,1572.22,12.9,1588.89,12.97,1583.33,8.26,1683.33,14.48,1547.22,14.75,1533.33,8.59,1625.0,8.73,1619.44,7.97,1644.44,13.25,1527.78,11.74,1541.67,15.88,1508.33,6.63,1658.33,19.39,1497.22,14.44,1511.11,9.39,1583.33,10.91,1552.78,15.7,1505.56,7.68,1616.67,18.44,1497.22,19.19,1494.44,16.57,1502.78,15.0,1505.56,19.27,1488.89,6.74,1622.22,19.27,1488.89,19.27,1488.89,17.15,1494.44,16.42,1494.44,15.22,1500.0,22.19,1477.78,6.3,1650.0,6.52,1619.44,16.0,1494.44,8.37,1586.11,21.72,1477.78,8.61,1572.22,6.69,1616.67,12.9,1516.67,15.32,1497.22,9.16,1555.56,17.41,1483.33,6.21,1647.22,6.76,1605.56,13.76,1505.56,16.25,1491.67,8.91,1569.44,19.32,1477.78,6.8,1602.78
60,10.72,1666.67,9.3,1647.22,12.35,1586.11,9.87,1619.44,13.63,1550.0,12.52,1538.89,9.74,1608.33,10.58,1577.78,7.82,1647.22,7.24,1661.11,11.73,1547.22,8.08,1633.33,10.44,1561.11,6.47,1680.56,19.39,1497.22,11.32,1547.22,13.29,1516.67,11.32,1547.22,10.27,1552.78,10.27,1552.78,14.13,1511.11,6.48,1658.33,16.57,1502.78,20.38,1486.11,7.92,1600.0,10.42,1550.0,10.42,1550.0,6.43,1647.22,6.43,1647.22,6.22,1658.33,20.42,1480.56,10.7,1541.67,7.19,1608.33,9.39,1566.67,20.42,1480.56,20.42,1480.56,21.72,1477.78,21.68,1477.78,14.86,1502.78,6.32,1644.44,6.32,1644.44,11.0,1538.89,9.09,1566.67,6.34,1636.11,8.18,1580.56,8.03,1586.11,19.39,1477.78,10.37,1544.44,14.61,1500.0
61,11.38,1655.56,9.84,1636.11,12.33,1588.89,9.39,1636.11,16.1,1536.11,7.73,1675.0,6.76,1686.11,13.39,1530.56,6.54,1683.33,7.28,1650.0,12.36,1530.56,8.14,1627.78,11.06,1558.33,6.47,1680.56,6.47,1680.56,12.7,1525.0,13.89,1513.89,7.47,1630.56,17.75,1500.0,13.29,1516.67,7.62,1616.67,19.27,1488.89,19.27,1488.89,11.42,1538.89,13.18,1513.89,14.07,1511.11,20.29,1483.33,10.42,1550.0,10.19,1550.0,22.19,1477.78,17.4,1491.67,7.19,1608.33,6.3,1650.0,11.3,1533.33,6.52,1627.78,19.02,1483.33,6.16,1655.56,6.16,1655.56,6.77,1605.56,8.97,1569.44,12.04,1527.78,8.2,1580.56,12.9,1516.67,6.32,1644.44,6.44,1616.67,6.42,1619.44,6.13,1663.89,7.37,1597.22,14.61,1500.0
62,11.48,1630.56,9.63,1644.44,15.34,1552.78,9.04,1638.89,10.73,1591.67,7.73,1675.0,11.05,1577.78,12.51,1536.11,19.86,1513.89,18.6,1513.89,8.53,1616.67,8.19,1625.0,11.16,1555.56,6.44,1688.89,6.47,1680.56,7.52,1625.0,6.55,1658.33,7.21,1636.11,14.44,1511.11,7.26,1622.22,14.62,1508.33,14.07,1511.11,7.09,1622.22,11.4,1541.67,8.99,1580.56,20.29,1483.33,9.17,1569.44,19.03,1488.89,14.95,1505.56,18.67,1488.89,6.6,1627.78,17.48,1488.89,7.65,1597.22,6.77,1605.56,13.11,1513.89,6.51,1630.56,20.42,1480.56,19.95,1480.56,8.97,1569.44,12.94,1513.89,10.61,1541.67,11.0,1538.89,8.61,1572.22,10.17,1547.22,12.89,1516.67,6.31,1641.67,8.2,1580.56,6.8,1602.78,7.12,1594.44
63,12.2,1608.33,10.45,1627.78,17.48,1544.44,9.65,1633.33,10.19,1602.78,11.69,1569.44,10.92,1586.11,9.84,1600.0,13.39,1530.56,18.22,1519.44,8.49,1625.0,7.63,1638.89,10.44,1561.11,10.91,1552.78,6.44,1686.11,7.52,1625.0,7.87,1619.44,7.21,1636.11,7.26,1622.22,8.28,1608.33,13.61,1513.89,9.42,1563.89,9.42,1563.89,8.49,1597.22,20.98,1483.33,9.42,1563.89,8.99,1580.56,14.99,1505.56,15.76,1497.22,17.4,1491.67,7.68,1600.0,6.33,1641.67,10.48,1547.22,6.19,1666.67,6.4,1647.22,17.87,1486.11,19.02,1483.33,13.76,1505.56,6.16,1652.78,6.13,1666.67,6.77,1605.56,15.71,1494.44,9.68,1550.0,6.13,1661.11,14.86,1502.78,6.15,1652.78,15.88,1494.44,14.61,1500.0,12.04,1527.78
64,12.12,1619.44,14.35,1580.56,16.37,1547.22,16.35,1544.44,10.32,1594.44,9.62,1613.89,9.61,1613.89,10.08,1597.22,19.43,1516.67,20.1,1500.0,8.68,1613.89,8.0,1636.11,9.52,1580.56,10.34,1555.56,10.91,1552.78,7.21,1636.11,11.32,1547.22,7.21,1636.11,13.29,1516.67,19.19,1494.44,9.73,1569.44,13.23,1513.89,14.07,1511.11,14.07,1511.11,8.36,1594.44,13.18,1513.89,15.0,1505.56,20.14,1486.11,9.42,1563.89,20.42,1480.56,6.43,1647.22,6.22,1658.33,6.19,1666.67,21.72,1477.78,14.68,1505.56,8.16,1591.67,15.03,1500.0,15.03,1500.0,14.88,1500.0,12.9,1516.67,8.38,1577.78,6.45,1616.67,12.03,1530.56,8.61,1572.22,8.07,1583.33,18.75,1480.56,17.72,1483.33,19.38,1477.78,12.14,1522.22
65,11.7,1622.22,11.44,1608.33,13.1,1577.78,15.34,1552.78,7.73,1675.0,7.46,1677.78,12.27,1558.33,10.09,1591.67,11.25,1566.67,6.54,1691.67,7.93,1644.44,8.44,1613.89,9.44,1588.89,7.52,1625.0,10.28,1555.56,8.87,1608.33,7.52,1625.0,9.53,1572.22,15.2,1508.33,11.18,1550.0,8.51,1602.78,8.27,1600.0,10.26,1552.78,12.57,1525.0,14.62,1508.33,6.74,1622.22,6.72,1622.22,9.42,1563.89,11.12,1547.22,6.6,1627.78,18.67,1488.89,21.82,1477.78,21.72,1477.78,19.72,1483.33,16.96,1491.67,6.38,1644.44,17.82,1486.11,18.96,1483.33,6.14,1661.11,9.16,1555.56,6.13,1666.67,6.14,1661.11,7.38,1600.0,16.25,1491.67,7.47,1594.44,12.04,1527.78,16.76,1491.67,6.13,1663.89,19.38,1477.78
66,13.37,1594.44,11.23,1613.89,14.82,1558.33,14.37,1558.33,8.09,1661.11,7.02,1688.89,11.91,1561.11,10.08,1597.22,8.15,1641.67,13.39,1530.56,7.71,1647.22,10.97,1563.89,9.48,1586.11,7.81,1622.22,7.87,1619.44,8.79,1611.11,6.85,1647.22,9.52,1575.0,13.8,1513.89,6.75,1638.89,8.74,1594.44,6.75,1638.89,11.0,1550.0,12.57,1525.0,7.5,1619.44,7.92,1600.0,9.42,1563.89,7.92,1600.0,6.72,1622.22,19.84,1483.33,16.22,1494.44,19.72,1483.33,17.87,1486.11,6.43,1647.22,15.22,1500.0,6.52,1619.44,8.16,1591.67,12.27,1522.22,15.45,1497.22,6.32,1644.44,9.59,1552.78,6.43,1633.33,10.61,1541.67,8.38,1577.78,8.61,1572.22,9.14,1555.56,13.03,1513.89,14.63,1500.0,6.13,1663.89
67,15.71,1586.11,12.62,1602.78,13.64,1561.11,13.64,1561.11,8.64,1633.33,11.68,1577.78,11.32,1566.67,10.09,1591.67,12.51,1536.11,18.29,1527.78,11.06,1558.33,10.53,1566.67,18.21,1502.78,7.52,1625.0,9.12,1588.89,8.44,1613.89,9.12,1588.89,7.29,1633.33,8.74,1594.44,14.13,1511.11,9.88,1561.11,10.26,1552.78,9.38,1577.78,12.57,1525.0,8.84,1588.89,11.2,1547.22,14.2,1508.33,6.72,1622.22,15.26,1500.0,6.43,1647.22,7.58,1613.89,17.87,1486.11,19.72,1483.33,17.87,1486.11,6.8,1616.67,14.63,1505.56,6.52,1619.44,6.52,1619.44,6.33,1641.67,12.04,1527.78,7.61,1594.44,6.21,1647.22,10.76,1538.89,13.76,1505.56,9.16,1555.56,6.34,1636.11,7.39,1597.22,8.18,1580.56,14.63,1500.0
68,15.42,1591.67,12.15,1605.56,13.51,1563.89,13.51,1563.89,9.46,1630.56,11.46,1580.56,11.26,1572.22,10.12,1588.89,11.18,1575.0,18.81,1513.89,11.24,1552.78,12.34,1530.56,18.21,1502.78,7.52,1641.67,6.58,1666.67,9.53,1572.22,7.21,1636.11,18.44,1497.22,8.31,1608.33,12.74,1522.22,7.22,1633.33,11.0,1550.0,7.62,1616.67,12.52,1527.78,9.37,1575.0,8.99,1580.56,7.92,1600.0,14.2,1508.33,14.2,1508.33,16.22,1494.44,8.11,1594.44,20.42,1480.56,6.43,1647.22,7.68,1600.0,16.16,1494.44,7.59,1600.0,7.59,1600.0,17.82,1486.11,19.44,1477.78,19.44,1477.78,17.41,1483.33,9.09,1566.67,6.42,1619.44,8.06,1591.67,16.68,1488.89,9.09,1561.11,12.17,1522.22,15.88,1494.44,15.88,1494.44
69,15.73,1583.33,16.22,1558.33,11.46,1600.0,12.95,1575.0,10.0,1611.11,11.42,1583.33,19.59,1527.78,10.26,1583.33,10.52,1577.78,9.4,1594.44,11.16,1555.56,6.6,1677.78,18.76,1500.0,7.52,1641.67,6.63,1658.33,9.52,1575.0,12.87,1522.22,13.8,1513.89,9.53,1572.22,13.8,1513.89,13.29,1516.67,19.1,1494.44,13.18,1513.89,13.18,1513.89,9.69,1555.56,14.62,1508.33,13.92,1511.11,9.17,1569.44,13.92,1511.11,7.68,1600.0,10.19,1550.0,6.6,1627.78,20.42,1480.56,20.42,1480.56,7.19,1608.33,15.22,1500.0,16.58,1491.67,13.11,1513.89,6.16,1655.56,6.16,1655.56,11.0,1538.89,12.9,1516.67,6.16,1652.78,8.18,1580.56,6.41,1622.22,10.68,1538.89,19.38,1480.56,17.72,1483.33,17.72,1483.33
70,16.69,1572.22,15.64,1572.22,10.67,1608.33,8.69,1655.56,9.87,1619.44,10.73,1591.67,13.39,1530.56,11.18,1575.0,11.6,1555.56,9.26,1613.89,12.74,1527.78,6.55,1680.56,6.92,1655.56,7.87,1619.44,6.58,1666.67,7.87,1619.44,6.52,1663.89,11.76,1538.89,11.21,1550.0,8.51,1602.78,6.7,1650.0,7.26,1622.22,14.62,1508.33,9.42,1563.89,9.7,1552.78,8.36,1594.44,13.18,1513.89,13.92,1511.11,9.17,1569.44,10.19,1550.0,12.04,1530.56,6.43,1647.22,16.96,1491.67,8.37,1586.11,10.74,1541.67,16.96,1491.67,13.99,1505.56,16.58,1491.67,15.0,1500.0,9.39,1566.67,8.2,1580.56,8.61,1572.22,6.13,1666.67,6.44,1616.67,14.89,1497.22,8.98,1566.67,6.76,1605.56,13.03,1513.89,8.18,1580.56
71,12.76,1608.33,15.57,1577.78,10.36,1613.89,8.99,1647.22,9.74,1625.0,10.32,1594.44,12.51,1536.11,11.25,1566.67,8.73,1619.44,11.25,1566.67,8.0,1636.11,18.43,1505.56,6.92,1655.56,15.88,1508.33,9.45,1580.56,7.81,1622.22,6.5,1675.0,11.64,1544.44,6.75,1638.89,9.81,1569.44,10.05,1558.33,14.62,1508.33,8.61,1594.44,9.03,1583.33,16.92,1497.22,15.0,1505.56,11.2,1547.22,13.18,1513.89,13.18,1513.89,14.74,1505.56,12.6,1522.22,16.22,1494.44,6.52,1627.78,6.62,1622.22,12.6,1522.22,16.16,1494.44,10.48,1547.22,10.48,1547.22,18.96,1483.33,15.0,1500.0,11.0,1538.89,6.76,1605.56,11.3,1533.33,12.89,1516.67,6.13,1661.11,7.37,1597.22,13.76,1505.56,7.39,1597.22,6.76,1605.56
72,12.37,1613.89,12.94,1588.89,9.32,1650.0,10.31,1608.33,9.88,1616.67,10.99,1588.89,12.38,1555.56,6.76,1686.11,9.26,1613.89,10.04,1583.33,6.54,1691.67,9.03,1602.78,6.96,1650.0,9.27,1586.11,9.27,1586.11,7.87,1619.44,12.7,1525.0,11.74,1541.67,9.12,1588.89,8.74,1594.44,8.38,1605.56,9.38,1577.78,11.95,1536.11,9.01,1586.11,15.0,1505.56,7.5,1619.44,8.36,1594.44,8.36,1594.44,8.41,1586.11,15.26,1500.0,19.72,1483.33,10.19,1550.0,13.17,1513.89,6.52,1627.78,10.48,1547.22,6.78,1611.11,17.48,1488.89,17.48,1488.89,13.76,1505.56,18.96,1483.33,6.16,1655.56,9.68,1550.0,6.76,1605.56,14.86,1502.78,13.36,1508.33,6.13,1663.89,6.76,1619.44,12.17,1522.22,13.03,1513.89
73,11.98,1633.33,9.32,1650.0,9.84,1636.11,10.05,1613.89,9.68,1627.78,9.84,1600.0,12.5,1544.44,6.98,1677.78,7.39,1661.11,12.51,1536.11,19.2,1500.0,9.22,1591.67,7.52,1641.67,9.14,1591.67,9.39,1583.33,15.27,1508.33,12.19,1533.33,11.74,1541.67,12.74,1522.22,7.22,1633.33,12.96,1519.44,7.95,1608.33,9.88,1561.11,9.09,1580.56,11.95,1536.11,8.84,1588.89,9.7,1552.78,11.12,1547.22,11.37,1538.89,7.58,1613.89,15.22,1500.0,12.04,1530.56,10.95,1547.22,13.11,1513.89,15.76,1497.22,10.74,1541.67,6.78,1611.11,8.16,1591.67,7.44,1597.22,13.76,1505.56,19.44,1477.78,6.14,1661.11,6.34,1636.11,8.07,1583.33,10.61,1541.67,6.13,1663.89,14.95,1502.78,18.75,1480.56,18.75,1480.56
74,12.21,1622.22,9.92,1641.67,10.12,1633.33,11.12,1594.44,11.96,1586.11,8.26,1650.0,8.26,1641.67,8.15,1647.22,8.25,1630.56,7.39,1661.11,16.24,1519.44,19.1,1500.0,7.4,1644.44,6.58,1666.67,9.39,1583.33,12.19,1533.33,6.87,1644.44,11.64,1544.44,8.6,1602.78,6.7,1650.0,7.87,1611.11,7.62,1616.67,11.32,1547.22,16.47,1500.0,7.62,1616.67,11.37,1538.89,7.5,1619.44,11.37,1538.89,7.46,1619.44,11.12,1547.22,14.74,1505.56,12.6,1522.22,11.37,1538.89,7.19,1608.33,17.48,1488.89,10.48,1547.22,15.76,1497.22,9.71,1550.0,17.82,1486.11,7.44,1597.22,18.84,1483.33,19.44,1477.78,6.32,1644.44,7.47,1594.44,6.13,1663.89,19.44,1477.78,6.45,1625.0,6.76,1605.56,7.47,1594.44
