Evaluation,Generation 0: owPPD,Generation 0: NSE,Generation 1: owPPD,Generation 1: NSE,Generation 2: owPPD,Generation 2: NSE,Generation 3: owPPD,Generation 3: NSE,Generation 4: owPPD,Generation 4: NSE,Generation 5: owPPD,Generation 5: NSE,Generation 6: owPPD,Generation 6: NSE,Generation 7: owPPD,Generation 7: NSE,Generation 8: owPPD,Generation 8: NSE,Generation 9: owPPD,Generation 9: NSE,Generation 10: owPPD,Generation 10: NSE,Generation 11: owPPD,Generation 11: NSE,Generation 12: owPPD,Generation 12: NSE,Generation 13: owPPD,Generation 13: NSE,Generation 14: owPPD,Generation 14: NSE,Generation 15: owPPD,Generation 15: NSE,Generation 16: owPPD,Generation 16: NSE,Generation 17: owPPD,Generation 17: NSE,Generation 18: owPPD,Generation 18: NSE,Generation 19: owPPD,Generation 19: NSE,Generation 20: owPPD,Generation 20: NSE,Generation 21: owPPD,Generation 21: NSE,Generation 22: owPPD,Generation 22: NSE,Generation 23: owPPD,Generation 23: NSE,Generation 24: owPPD,Generation 24: NSE,Generation 25: owPPD,Generation 25: NSE,Generation 26: owPPD,Generation 26: NSE,Generation 27: owPPD,Generation 27: NSE,Generation 28: owPPD,Generation 28: NSE,Generation 29: owPPD,Generation 29: NSE,Generation 30: owPPD,Generation 30: NSE,Generation 31: owPPD,Generation 31: NSE,Generation 32: owPPD,Generation 32: NSE,Generation 33: owPPD,Generation 33: NSE,Generation 34: owPPD,Generation 34: NSE,Generation 35: owPPD,Generation 35: NSE,Generation 36: owPPD,Generation 36: NSE,Generation 37: owPPD,Generation 37: NSE,Generation 38: owPPD,Generation 38: NSE,Generation 39: owPPD,Generation 39: NSE,Generation 40: owPPD,Generation 40: NSE,Generation 41: owPPD,Generation 41: NSE,Generation 42: owPPD,Generation 42: NSE,Generation 43: owPPD,Generation 43: NSE,Generation 44: owPPD,Generation 44: NSE,Generation 45: owPPD,Generation 45: NSE,Generation 46: owPPD,Generation 46: NSE,Generation 47: owPPD,Generation 47: NSE,Generation 48: owPPD,Generation 48: NSE
36,9.92,1650.0,11.14,1608.33,12.27,1583.33,9.61,1613.89,15.9,1536.11,7.46,1677.78,18.29,1527.78,9.82,1600.0,8.18,1633.33,8.22,1627.78,8.0,1636.11,11.38,1550.0,6.51,1683.33,12.28,1536.11,12.57,1525.0,12.03,1530.56,6.48,1658.33,8.74,1594.44,12.66,1522.22,16.58,1502.78,9.42,1563.89,17.15,1494.44,16.5,1500.0,6.6,1627.78,6.28,1666.67,20.42,1480.56,6.6,1627.78,15.22,1500.0,16.22,1494.44,21.72,1477.78,7.27,1613.89,16.16,1494.44,13.98,1508.33,17.82,1486.11,7.65,1597.22,6.77,1605.56,9.16,1555.56,6.32,1644.44,6.77,1605.56,12.17,1522.22,6.76,1608.33,12.9,1516.67,8.97,1569.44,10.53,1544.44,12.04,1527.78,6.76,1605.56,7.47,1594.44,16.25,1491.67,8.03,1586.11
37,12.19,1605.56,11.83,1597.22,12.22,1586.11,19.59,1527.78,10.08,1597.22,6.76,1686.11,18.29,1527.78,7.9,1650.0,8.22,1627.78,8.22,1627.78,8.18,1633.33,9.44,1588.89,12.28,1536.11,12.28,1533.33,7.26,1622.22,16.88,1497.22,19.54,1491.67,9.36,1580.56,14.62,1508.33,8.36,1594.44,7.72,1608.33,6.33,1655.56,7.58,1613.89,12.9,1516.67,8.41,1586.11,16.88,1497.22,13.0,1513.89,7.52,1605.56,7.24,1619.44,17.4,1491.67,13.87,1511.11,13.0,1513.89,19.95,1480.56,9.56,1555.56,10.41,1547.22,6.43,1636.11,16.25,1491.67,6.21,1647.22,6.49,1619.44,10.7,1541.67,11.3,1533.33,14.86,1502.78,6.16,1652.78,15.32,1497.22,10.61,1541.67,6.34,1636.11,8.61,1572.22,8.03,1586.11,6.42,1619.44
38,12.62,1602.78,11.46,1600.0,13.62,1558.33,9.46,1630.56,10.09,1591.67,11.39,1572.22,12.37,1530.56,10.04,1583.33,8.22,1627.78,8.22,1627.78,8.22,1627.78,9.48,1586.11,20.07,1497.22,11.74,1541.67,7.21,1636.11,6.48,1658.33,13.61,1513.89,9.14,1583.33,11.95,1536.11,12.52,1527.78,14.2,1508.33,14.95,1505.56,20.3,1486.11,11.2,1547.22,7.46,1619.44,11.25,1538.89,11.12,1547.22,8.41,1586.11,21.72,1477.78,19.72,1483.33,9.42,1563.89,13.87,1511.11,6.33,1641.67,19.02,1483.33,14.86,1502.78,7.59,1600.0,16.69,1488.89,18.84,1483.33,11.3,1533.33,8.61,1572.22,19.38,1477.78,8.97,1569.44,14.88,1500.0,6.32,1644.44,8.38,1577.78,10.17,1547.22,16.68,1488.89,6.42,1619.44,12.04,1527.78
39,11.39,1627.78,10.98,1616.67,14.81,1544.44,9.0,1633.33,10.08,1597.22,11.18,1575.0,8.15,1647.22,11.15,1561.11,8.22,1627.78,8.49,1625.0,8.22,1627.78,6.61,1669.44,11.74,1541.67,11.64,1544.44,8.26,1613.89,13.89,1513.89,11.62,1538.89,6.29,1661.11,7.5,1619.44,18.75,1491.67,8.27,1600.0,20.3,1486.11,9.7,1552.78,8.62,1591.67,20.42,1480.56,13.0,1513.89,6.33,1641.67,13.98,1508.33,17.4,1491.67,12.17,1527.78,16.16,1494.44,6.16,1655.56,15.7,1497.22,8.37,1580.56,8.48,1577.78,9.16,1555.56,8.07,1591.67,6.77,1605.56,12.03,1530.56,7.44,1597.22,6.44,1633.33,6.16,1652.78,6.33,1641.67,8.97,1569.44,9.59,1552.78,6.13,1661.11,6.41,1622.22,12.04,1527.78,9.14,1555.56
40,11.86,1608.33,10.73,1622.22,13.62,1558.33,14.81,1544.44,10.09,1591.67,10.08,1597.22,8.25,1630.56,6.73,1677.78,7.24,1661.11,11.38,1550.0,8.22,1627.78,6.51,1683.33,11.64,1544.44,11.45,1547.22,12.28,1536.11,11.74,1541.67,14.62,1508.33,8.26,1613.89,12.57,1525.0,9.37,1575.0,12.9,1519.44,19.03,1488.89,11.37,1538.89,12.6,1522.22,16.88,1497.22,20.22,1483.33,13.87,1511.11,20.42,1480.56,6.22,1658.33,8.61,1572.22,13.0,1513.89,7.91,1597.22,17.82,1486.11,15.0,1500.0,16.0,1494.44,16.25,1491.67,13.58,1508.33,6.49,1619.44,6.16,1652.78,6.32,1644.44,12.83,1519.44,14.88,1500.0,11.3,1533.33,12.94,1513.89,17.41,1483.33,8.61,1572.22,14.89,1497.22,9.14,1555.56,9.09,1561.11
41,11.52,1611.11,11.1,1613.89,14.81,1544.44,14.81,1544.44,7.64,1669.44,10.09,1591.67,8.25,1630.56,18.29,1527.78,7.53,1652.78,11.73,1547.22,11.38,1550.0,12.28,1536.11,11.45,1547.22,13.35,1519.44,12.28,1533.33,11.64,1544.44,6.48,1658.33,8.27,1608.33,15.0,1505.56,7.54,1616.67,8.84,1588.89,6.6,1627.78,8.13,1597.22,22.3,1477.78,11.25,1538.89,11.46,1536.11,15.7,1497.22,8.51,1580.56,19.72,1483.33,12.42,1522.22,13.87,1511.11,6.33,1641.67,9.56,1555.56,8.07,1591.67,11.3,1533.33,16.69,1488.89,13.42,1511.11,11.3,1533.33,6.35,1636.11,6.74,1611.11,12.9,1516.67,6.33,1641.67,10.53,1544.44,6.32,1644.44,15.71,1494.44,16.25,1491.67,13.36,1508.33,9.09,1561.11,10.68,1538.89
42,13.18,1594.44,17.0,1555.56,13.04,1577.78,14.7,1550.0,8.09,1661.11,10.08,1597.22,8.25,1630.56,18.29,1527.78,12.12,1541.67,19.2,1500.0,19.08,1500.0,11.74,1541.67,6.46,1694.44,13.85,1516.67,12.2,1538.89,13.29,1516.67,12.03,1530.56,8.38,1605.56,12.96,1519.44,17.15,1494.44,17.15,1494.44,13.18,1513.89,13.87,1511.11,7.59,1600.0,13.0,1513.89,16.88,1497.22,13.98,1508.33,6.28,1666.67,12.17,1527.78,7.51,1611.11,6.16,1655.56,13.98,1508.33,19.02,1483.33,13.87,1511.11,6.77,1605.56,8.07,1591.67,6.32,1644.44,12.03,1530.56,17.6,1486.11,6.76,1608.33,14.86,1502.78,11.3,1533.33,15.32,1497.22,12.04,1527.78,9.09,1566.67,8.38,1577.78,18.75,1480.56,10.68,1538.89,8.98,1566.67
43,14.35,1580.56,15.13,1558.33,13.09,1575.0,13.62,1558.33,9.12,1619.44,10.09,1591.67,10.08,1597.22,18.29,1527.78,9.12,1613.89,9.44,1588.89,9.44,1588.89,11.64,1544.44,6.46,1694.44,9.53,1572.22,11.74,1541.67,8.91,1602.78,6.7,1652.78,16.84,1500.0,6.47,1647.22,8.27,1600.0,6.33,1655.56,9.42,1563.89,16.5,1500.0,6.29,1661.11,20.22,1483.33,15.26,1500.0,11.12,1547.22,19.84,1483.33,8.61,1572.22,6.52,1627.78,17.53,1488.89,14.68,1505.56,8.37,1580.56,13.87,1511.11,6.43,1636.11,13.58,1508.33,6.21,1647.22,6.16,1652.78,13.76,1505.56,11.3,1533.33,6.77,1605.56,11.0,1538.89,6.32,1644.44,10.61,1541.67,8.61,1572.22,13.76,1505.56,16.25,1491.67,8.98,1566.67,12.14,1522.22
44,15.64,1572.22,12.35,1586.11,13.62,1558.33,13.62,1558.33,8.97,1625.0,10.12,1588.89,10.09,1591.67,18.68,1525.0,11.38,1550.0,9.31,1602.78,9.28,1594.44,6.46,1694.44,11.24,1552.78,9.53,1572.22,11.64,1544.44,9.02,1597.22,7.62,1616.67,6.75,1638.89,6.66,1622.22,11.81,1533.33,14.95,1505.56,12.52,1527.78,7.75,1605.56,9.68,1550.0,21.25,1480.56,8.97,1569.44,8.84,1580.56,10.48,1547.22,12.42,1522.22,7.27,1613.89,7.91,1597.22,16.96,1491.67,15.0,1500.0,6.51,1630.56,7.59,1600.0,13.42,1511.11,18.84,1483.33,6.35,1636.11,12.17,1522.22,19.38,1477.78,8.97,1569.44,10.53,1544.44,8.97,1569.44,8.38,1577.78,9.68,1550.0,8.18,1580.56,8.03,1586.11,7.37,1597.22,6.42,1619.44
45,15.57,1577.78,8.99,1647.22,13.22,1561.11,13.62,1558.33,8.63,1630.56,9.82,1600.0,10.08,1597.22,8.15,1641.67,11.73,1547.22,9.33,1594.44,6.61,1669.44,11.06,1558.33,13.35,1519.44,8.44,1613.89,13.35,1519.44,6.96,1644.44,10.05,1558.33,19.27,1488.89,11.18,1550.0,10.65,1550.0,13.23,1513.89,16.5,1500.0,12.46,1525.0,20.98,1483.33,6.31,1658.33,16.88,1497.22,9.68,1550.0,6.52,1627.78,18.81,1488.89,8.37,1586.11,6.33,1641.67,19.95,1480.56,8.07,1591.67,6.3,1650.0,9.16,1555.56,6.32,1644.44,6.77,1605.56,17.6,1486.11,6.49,1622.22,6.44,1633.33,6.16,1652.78,15.32,1497.22,12.94,1513.89,9.59,1552.78,12.03,1530.56,6.44,1616.67,6.42,1619.44,12.14,1522.22,11.78,1530.56
