Date/Time,CORE_BOTTOM:Zone People Occupant Count [](Hourly),CORE_MID:Zone People Occupant Count [](Hourly),CORE_TOP:Zone People Occupant Count [](Hourly),PERIMETER_TOP_ZN_3:Zone People Occupant Count [](Hourly),PERIMETER_TOP_ZN_2:Zone People Occupant Count [](Hourly),PERIMETER_TOP_ZN_1:Zone People Occupant Count [](Hourly),PERIMETER_TOP_ZN_4:Zone People Occupant Count [](Hourly),PERIMETER_BOT_ZN_3:Zone People Occupant Count [](Hourly),PERIMETER_BOT_ZN_2:Zone People Occupant Count [](Hourly),PERIMETER_BOT_ZN_1:Zone People Occupant Count [](Hourly),PERIMETER_BOT_ZN_4:Zone People Occupant Count [](Hourly),PERIMETER_MID_ZN_3:Zone People Occupant Count [](Hourly),PERIMETER_MID_ZN_2:Zone People Occupant Count [](Hourly),PERIMETER_MID_ZN_1:Zone People Occupant Count [](Hourly),PERIMETER_MID_ZN_4:Zone People Occupant Count [](Hourly),CORE_BOTTOM:Zone Thermal Comfort Fanger Model PPD [%](Hourly),CORE_MID:Zone Thermal Comfort Fanger Model PPD [%](Hourly),CORE_TOP:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_TOP_ZN_3:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_TOP_ZN_2:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_TOP_ZN_1:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_TOP_ZN_4:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_BOT_ZN_3:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_BOT_ZN_2:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_BOT_ZN_1:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_BOT_ZN_4:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_MID_ZN_3:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_MID_ZN_2:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_MID_ZN_1:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_MID_ZN_4:Zone Thermal Comfort Fanger Model PPD [%](Hourly) 
 10/15  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.939711296650508,10.730155316011823,8.099953424393578,5.628811237805941,5.911086979196111,6.740347747415181,6.4110944797128559,7.9067719098058719,9.86761491042042,14.352940103652204,11.084592291052948,6.7378369741764179,6.995120752124016,8.474837665392768,7.943873025938811 
 10/15  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.97724463876286,10.809426369251656,7.919188584716328,5.5427051855335069,5.778520030020187,6.481922500336329,6.174247918836923,7.94198704595662,9.827691949841466,14.1604484692703,10.967193890563435,6.745728697928345,6.972375571881365,8.310943339010264,7.785279607126053 
 10/15  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.041472803884889,10.880981548897588,7.771168519757263,5.337838832070489,5.498315445721971,6.03820000525581,5.78127945314709,7.661515925585033,9.391577709565065,13.435959777159994,10.409869731623815,6.475904113073447,6.640939699576961,7.780662725010977,7.299742063496278 
 10/15  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.075503990825182,10.904414238879772,7.572057307024679,5.119714159233972,5.19831965418756,5.546370653886903,5.365130154451255,7.216829027996236,8.737725019631041,12.3947272093993,9.639547034091687,6.057472520735236,6.151983405067765,7.06058364953456,6.65301869132787 
 10/15  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.08024831833975,10.875020386625343,7.306466093423673,5.016001419724712,5.041205616697965,5.2326736055538449,5.121335960788575,6.913854402389636,8.25592206824466,11.61639722917287,9.085096132995125,5.767637751915854,5.810872416015236,6.53989964264827,6.1964413743815289 
 10/15  06:00:00,5.293866538198262,5.293866538198262,5.293866538198262,1.1159935258890757,0.7065162160575444,1.1159935258890757,0.7064698719305477,1.1159935258890757,0.7065162160575444,1.1159935258890757,0.7064698719305477,1.1159935258890757,0.7065162160575444,1.1159935258890757,0.7064698719305477,10.744696388188908,8.25113414057089,5.861958103263845,5.16921848740359,5.129238530132423,5.060713480179044,5.077912176009349,5.939925068638341,6.839333063372426,7.965314351443181,7.425370514635389,5.235459020965678,5.250759824759467,5.613523612497043,5.433454857338892 
 10/15  07:00:00,10.587733076396525,10.587733076396525,10.587733076396525,2.2319870517781514,1.4130324321150889,2.2319870517781514,1.4129397438610954,2.2319870517781514,1.4130324321150889,2.2319870517781514,1.4129397438610954,2.2319870517781514,1.4130324321150889,2.2319870517781514,1.4129397438610954,5.736756981232287,5.3371122382919939,5.5030756890304579,6.250362764938113,5.832257808361514,6.014174473079248,6.115394220972142,5.383335952956789,5.269770120728775,5.390576753461988,5.439521112720956,5.663541115282922,5.238603723743111,5.545236447256639,5.636193253344804 
 10/15  08:00:00,50.29173211288349,50.29173211288349,50.29173211288349,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.269190139348402,6.175683969481014,5.346834204251114,5.365507789366849,8.636271120075888,5.33776590160318,5.312930565142207,5.585313697465104,11.155931368695745,6.554197871177469,6.167579118832324,5.296521640815044,7.292999221324547,5.700018995611823,5.334234697627013 
 10/15  09:00:00,50.29173211288349,50.29173211288349,50.29173211288349,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,7.900712366500763,6.226571272284088,5.559176624613126,5.197077853160832,9.323060489748939,5.9087986559239529,5.2515748187673199,5.8674390153433439,10.076769420526022,7.344436598385951,6.324010958838483,5.532769280151409,8.841928191432764,6.5188731640932648,5.599346380818699 
 10/15  10:00:00,51.652426635444069,51.652426635444069,51.652426635444069,10.888784842927822,6.893501517906446,10.888784842927822,6.89304933676391,10.888784842927822,6.893501517906446,10.888784842927822,6.89304933676391,10.888784842927822,0.0,10.888784842927822,6.89304933676391,10.147845189591197,7.628966430443829,6.69645841939861,6.167528077867954,13.227509819023267,11.05358852331343,6.3740499328852169,7.401516494730923,13.249003626784126,12.158568352286025,8.605780442042495,6.843455298373684,10.253942517060935,11.768322023551704,7.093601126853422 
