Date/Time,CORE_BOTTOM:Zone People Occupant Count [](Hourly),CORE_MID:Zone People Occupant Count [](Hourly),CORE_TOP:Zone People Occupant Count [](Hourly),PERIMETER_TOP_ZN_3:Zone People Occupant Count [](Hourly),PERIMETER_TOP_ZN_2:Zone People Occupant Count [](Hourly),PERIMETER_TOP_ZN_1:Zone People Occupant Count [](Hourly),PERIMETER_TOP_ZN_4:Zone People Occupant Count [](Hourly),PERIMETER_BOT_ZN_3:Zone People Occupant Count [](Hourly),PERIMETER_BOT_ZN_2:Zone People Occupant Count [](Hourly),PERIMETER_BOT_ZN_1:Zone People Occupant Count [](Hourly),PERIMETER_BOT_ZN_4:Zone People Occupant Count [](Hourly),PERIMETER_MID_ZN_3:Zone People Occupant Count [](Hourly),PERIMETER_MID_ZN_2:Zone People Occupant Count [](Hourly),PERIMETER_MID_ZN_1:Zone People Occupant Count [](Hourly),PERIMETER_MID_ZN_4:Zone People Occupant Count [](Hourly),CORE_BOTTOM:Zone Thermal Comfort Fanger Model PPD [%](Hourly),CORE_MID:Zone Thermal Comfort Fanger Model PPD [%](Hourly),CORE_TOP:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_TOP_ZN_3:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_TOP_ZN_2:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_TOP_ZN_1:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_TOP_ZN_4:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_BOT_ZN_3:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_BOT_ZN_2:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_BOT_ZN_1:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_BOT_ZN_4:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_MID_ZN_3:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_MID_ZN_2:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_MID_ZN_1:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_MID_ZN_4:Zone Thermal Comfort Fanger Model PPD [%](Hourly) 
 10/15  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.821542749109637,21.66989879958072,24.923684727925335,30.05871283544285,34.179192659746878,27.29739799074086,34.90458434650497,20.501685363523057,22.72905188710034,13.211315469038754,22.12329433444358,26.10583774545904,10.953003099308282,23.61163113169285,31.967807322876657 
 10/15  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.836580784899025,23.695105409277603,27.54970591220957,33.01520120085747,37.54327094447672,30.462973174475196,38.57464338443354,22.087849735704955,24.764567465609248,14.622158517998498,24.281253627313317,28.449316519340454,12.011368538761536,26.21338663180965,35.14411751289163 
 10/15  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.94829811724074,23.430936878314783,27.524485403892148,33.38799484985626,37.54326734767427,31.006351645851038,38.51497879095027,21.993371464519627,24.428904900290246,14.654180906633876,23.957470583953655,28.669197471566929,13.092211473724234,26.621160567045725,34.94994763833312 
 10/15  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.356959952851743,24.88755587196037,29.736915789412735,36.799753972007078,41.10934204520385,34.66109106007362,42.18191432652798,23.87118939057572,26.573413998529977,16.567313949676487,26.165621026205725,31.125576467936047,15.139771595965199,29.316059454532064,37.61946072587353 
 10/15  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.90453588765826,16.688778316062395,21.845253819468799,28.168648094794475,29.786974941315408,25.89582213976141,29.97251091573393,16.410833376305804,16.420455674086964,10.359208978210838,15.807051062373061,22.46717845501163,14.096059631392741,20.513751981074,24.91255887618709 
 10/15  06:00:00,5.293866538198262,5.293866538198262,5.293866538198262,1.1159935258890757,0.7065162160575444,1.1159935258890757,0.7064698719305477,1.1159935258890757,0.7065162160575444,1.1159935258890757,0.7064698719305477,1.1159935258890757,0.7065162160575444,1.1159935258890757,0.7064698719305477,12.154204419077564,12.947290864679042,15.164046843577176,17.89695431966768,18.22153762347443,16.91455557479236,18.18565536501936,13.265786083727577,13.00293666918751,10.72566712918899,12.719471031682284,15.36243008622545,15.018960672448534,14.599665071207568,15.833567428931929 
 10/15  07:00:00,10.587733076396525,10.587733076396525,10.587733076396525,2.2319870517781514,1.4130324321150889,2.2319870517781514,1.4129397438610954,2.2319870517781514,1.4130324321150889,2.2319870517781514,1.4129397438610954,2.2319870517781514,1.4130324321150889,2.2319870517781514,1.4129397438610954,11.736978820753455,12.561241034111179,13.852321794990813,15.066403149826309,14.025488775228647,14.623814933538512,15.104016539448188,12.755958746570505,11.65864061223124,12.563443131155724,12.33968653639151,13.939571128468588,12.302901999471523,13.485288097564249,14.075042606867074 
 10/15  08:00:00,50.29173211288349,50.29173211288349,50.29173211288349,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.597648638675116,11.479515643219728,12.543075890338537,13.44546445532974,9.189011493214599,12.464892256826785,13.463908198738123,11.61189769016156,8.269860945297275,10.036971771797147,11.263686497484505,12.493850927178136,5.864804112016505,11.55843822192107,12.603665762917262 
 10/15  09:00:00,50.29173211288349,50.29173211288349,50.29173211288349,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.179044020601376,10.745321495867186,11.396710959254018,11.701522775931544,7.204896317577462,9.753234405116743,11.677680292198936,10.531048346345602,7.205225222282524,8.469605864690634,10.227491463022292,11.087885110440285,6.215180523277435,9.269925889563745,11.153087416718135 
 10/15  10:00:00,51.652426635444069,51.652426635444069,51.652426635444069,10.888784842927822,6.893501517906446,10.888784842927822,6.89304933676391,10.888784842927822,6.893501517906446,10.888784842927822,6.89304933676391,10.888784842927822,0.0,10.888784842927822,6.89304933676391,9.849809470687946,10.2532467694217,10.489076567455749,10.383526569384479,6.836031805046993,7.829510145716358,10.303919589588676,9.82770649639078,6.998820581147373,6.91999767666911,9.502585939488676,10.158737062278542,7.305899801864823,7.643535714922675,10.155115473090307 
