Date/Time,CORE_BOTTOM:Zone People Occupant Count [](Hourly),CORE_MID:Zone People Occupant Count [](Hourly),CORE_TOP:Zone People Occupant Count [](Hourly),PERIMETER_TOP_ZN_3:Zone People Occupant Count [](Hourly),PERIMETER_TOP_ZN_2:Zone People Occupant Count [](Hourly),PERIMETER_TOP_ZN_1:Zone People Occupant Count [](Hourly),PERIMETER_TOP_ZN_4:Zone People Occupant Count [](Hourly),PERIMETER_BOT_ZN_3:Zone People Occupant Count [](Hourly),PERIMETER_BOT_ZN_2:Zone People Occupant Count [](Hourly),PERIMETER_BOT_ZN_1:Zone People Occupant Count [](Hourly),PERIMETER_BOT_ZN_4:Zone People Occupant Count [](Hourly),PERIMETER_MID_ZN_3:Zone People Occupant Count [](Hourly),PERIMETER_MID_ZN_2:Zone People Occupant Count [](Hourly),PERIMETER_MID_ZN_1:Zone People Occupant Count [](Hourly),PERIMETER_MID_ZN_4:Zone People Occupant Count [](Hourly),CORE_BOTTOM:Zone Thermal Comfort Fanger Model PPD [%](Hourly),CORE_MID:Zone Thermal Comfort Fanger Model PPD [%](Hourly),CORE_TOP:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_TOP_ZN_3:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_TOP_ZN_2:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_TOP_ZN_1:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_TOP_ZN_4:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_BOT_ZN_3:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_BOT_ZN_2:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_BOT_ZN_1:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_BOT_ZN_4:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_MID_ZN_3:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_MID_ZN_2:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_MID_ZN_1:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_MID_ZN_4:Zone Thermal Comfort Fanger Model PPD [%](Hourly) 
 10/15  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.220759848890067,6.756689157458237,5.571593555893135,5.009873546504468,5.001218159218555,5.11164542186862,5.050949337008238,5.5900708221253529,6.383784558203641,8.974663527608902,6.956007924088948,5.150672519361007,5.549928782683281,5.699540699939727,5.480347519013155 
 10/15  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.278276434406648,6.814552119887106,5.519098480218297,5.020122246262194,5.001529613205077,5.068987040237171,5.023232384484349,5.624935395584967,6.418128354317716,8.918745017038374,6.941256128456243,5.162471441905055,5.517972258756053,5.664828164617762,5.448088580994198 
 10/15  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.34181172766005,6.865323875155968,5.475440178971499,5.085048033873996,5.0369939723020329,5.0104860893133609,5.005872855717048,5.504635422873133,6.199386057147717,8.49520130389525,6.660813398239253,5.091405473645568,5.337273825212546,5.458905689971057,5.282314233102085 
 10/15  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.383784121609227,6.888727380726628,5.409618573439971,5.27350671115656,5.195636871367147,5.041882394670348,5.100193303367185,5.326365205121713,5.87152616140106,7.899912720243134,6.2593352592182,5.0170088499707889,5.131425716529328,5.212669063930041,5.100649712316934 
 10/15  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.406981954796822,6.883000574913517,5.32048755905794,5.519571331585314,5.432753847996234,5.178039105344856,5.2917518803798109,5.220424608518203,5.660817903020678,7.451136422294698,5.991031588868516,5.00094804546962,5.030352789225229,5.076701484473797,5.0177823571305739 
 10/15  06:00:00,5.293866538198262,5.293866538198262,5.293866538198262,1.1159935258890757,0.7065162160575444,1.1159935258890757,0.7064698719305477,1.1159935258890757,0.7065162160575444,1.1159935258890757,0.7064698719305477,1.1159935258890757,0.7065162160575444,1.1159935258890757,0.7064698719305477,6.296922257131094,5.577117108002784,5.17404202153602,6.534335803593019,6.400661454266609,5.975929615450188,6.176615359439002,5.061918792905,5.16429465375888,5.60788943049891,5.3032299491636609,5.327819241529146,5.182215528916177,5.132427653696982,5.203278087205966 
 10/15  07:00:00,10.587733076396525,10.587733076396525,10.587733076396525,2.2319870517781514,1.4130324321150889,2.2319870517781514,1.4129397438610954,2.2319870517781514,1.4130324321150889,2.2319870517781514,1.4129397438610954,2.2319870517781514,1.4130324321150889,2.2319870517781514,1.4129397438610954,6.79959816604003,5.071021814449878,5.279614460457324,7.135992400566359,6.389826298338676,6.491087329998945,6.742019913661136,5.037431414644267,5.232292352535263,6.231843562305163,5.0770651510617059,5.547159419514649,5.215297189809928,5.24493379163841,5.37595192332429 
 10/15  08:00:00,50.29173211288349,50.29173211288349,50.29173211288349,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,8.02162679518782,5.6386999436325599,5.06980661813941,5.891196933875809,7.035792513381122,5.385037043932502,5.693829305085394,5.162997640222447,9.115504696871869,5.599381198581608,5.630730460935041,5.104891713419785,6.756706291444597,5.216984992374802,5.0758836290132269 
 10/15  09:00:00,50.29173211288349,50.29173211288349,50.29173211288349,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,5.766045164890869,5.276792214603435,5.026802247350129,5.063494392351013,6.6573656379262,5.078563217920873,5.040777520352684,5.110055959143814,7.064734895967374,5.623579725882259,5.2949962866890989,5.017524905730099,8.257557229103938,5.361220471108214,5.028610857793744 
 10/15  10:00:00,51.652426635444069,51.652426635444069,51.652426635444069,10.888784842927822,6.893501517906446,10.888784842927822,6.89304933676391,10.888784842927822,6.893501517906446,10.888784842927822,6.89304933676391,10.888784842927822,0.0,10.888784842927822,6.89304933676391,5.21422092950048,5.053023602042278,5.014792858375327,5.004748235385428,6.033408961118295,5.46517364887134,5.009318606963139,5.046962685447404,6.104316394749257,5.779291556824411,5.117474225471622,5.019214424347794,9.62643811113412,5.607556128457996,5.029024690436491 
 10/15  11:00:00,50.29173211288349,50.29173211288349,50.29173211288349,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,5.1527192288885079,5.025070457768905,5.012137533703336,5.007615199740333,5.532532592591541,5.901770262387639,5.01649555021537,5.035210058787037,5.643105854922467,7.156681837529921,5.101787560494003,5.015612890411073,7.983380128683609,6.615595418658202,5.025945661778984 
 10/15  12:00:00,27.185487702865307,27.185487702865307,27.185487702865307,5.730939391014644,3.6281586936349727,5.730939391014644,3.6279207035599527,5.730939391014644,3.6281586936349727,5.730939391014644,3.6279207035599527,5.730939391014644,0.0,5.730939391014644,3.6279207035599527,5.383005131055948,5.136509189704967,5.136964512338696,5.156692026789801,5.502823959556025,7.030877965553157,5.199896502057126,5.20326837410223,5.700632642499575,11.82762193110262,5.338714606387477,5.155819375514215,8.014456208970359,8.255891461532903,5.196858385810621 
 10/15  13:00:00,50.29173211288349,50.29173211288349,50.29173211288349,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,5.7104030332677839,5.393987512895642,5.4442456434314769,5.511605413642019,5.905869387629892,8.72127362172985,5.60941515092409,5.5204048644216618,6.089557966009568,12.646135851716466,5.731539830535806,5.467127907082535,7.176291616758472,10.260000903060698,5.560062375319004 
